image_name,image_path,likelihood_bpd,nfe,timestamp
0146.png,assets/cond_gen_afhq_512/0146.png,4.487636566162109,836,20250704_222252
0234.png,assets/cond_gen_afhq_512/0234.png,4.485991477966309,830,20250704_222252
0479.png,assets/cond_gen_afhq_512/0479.png,3.5646162033081055,824,20250704_222252
0354.png,assets/cond_gen_afhq_512/0354.png,4.890915870666504,884,20250704_222252
1189.png,assets/cond_gen_afhq_512/1189.png,4.673490524291992,788,20250704_222252
0006.png,assets/cond_gen_afhq_512/0006.png,4.538222312927246,806,20250704_222252
0010.png,assets/cond_gen_afhq_512/0010.png,4.877155303955078,890,20250704_222252
1167.png,assets/cond_gen_afhq_512/1167.png,4.677529811859131,824,20250704_222252
1197.png,assets/cond_gen_afhq_512/1197.png,5.36899471282959,830,20250704_222252
0049.png,assets/cond_gen_afhq_512/0049.png,4.130957126617432,818,20250704_222252
0086.png,assets/cond_gen_afhq_512/0086.png,5.31572961807251,830,20250704_222252
0054.png,assets/cond_gen_afhq_512/0054.png,5.329567909240723,854,20250704_222252
0012.png,assets/cond_gen_afhq_512/0012.png,5.230503082275391,896,20250704_222252
1235.png,assets/cond_gen_afhq_512/1235.png,5.3597636222839355,854,20250704_222252
0074.png,assets/cond_gen_afhq_512/0074.png,5.058978080749512,842,20250704_222252
0538.png,assets/cond_gen_afhq_512/0538.png,4.354744911193848,860,20250704_222252
0001.png,assets/cond_gen_afhq_512/0001.png,4.501091957092285,800,20250704_222252
0045.png,assets/cond_gen_afhq_512/0045.png,5.325280666351318,830,20250704_222252
0040.png,assets/cond_gen_afhq_512/0040.png,4.389894485473633,824,20250704_222252
0589.png,assets/cond_gen_afhq_512/0589.png,4.806461811065674,866,20250704_222252
1269.png,assets/cond_gen_afhq_512/1269.png,4.7057085037231445,884,20250704_222252
0147.png,assets/cond_gen_afhq_512/0147.png,5.140225410461426,800,20250704_222252
0853.png,assets/cond_gen_afhq_512/0853.png,5.344417095184326,890,20250704_222252
0830.png,assets/cond_gen_afhq_512/0830.png,5.010666847229004,878,20250704_222252
0015.png,assets/cond_gen_afhq_512/0015.png,5.384284973144531,842,20250704_222252
1220.png,assets/cond_gen_afhq_512/1220.png,5.155350685119629,914,20250704_222252
0023.png,assets/cond_gen_afhq_512/0023.png,4.136264324188232,842,20250704_222252
0641.png,assets/cond_gen_afhq_512/0641.png,4.640158653259277,806,20250704_222252
0013.png,assets/cond_gen_afhq_512/0013.png,3.098822593688965,836,20250704_222252
1169.png,assets/cond_gen_afhq_512/1169.png,4.821228504180908,842,20250704_222252
1165.png,assets/cond_gen_afhq_512/1165.png,5.532356262207031,950,20250704_222252
1042.png,assets/cond_gen_afhq_512/1042.png,4.858773231506348,806,20250704_222252
0064.png,assets/cond_gen_afhq_512/0064.png,5.029633045196533,812,20250704_222252
0845.png,assets/cond_gen_afhq_512/0845.png,4.8208160400390625,836,20250704_222252
0551.png,assets/cond_gen_afhq_512/0551.png,4.89802360534668,926,20250704_222252
0089.png,assets/cond_gen_afhq_512/0089.png,4.605932712554932,878,20250704_222252
