image_name,image_path,likelihood_bpd,nfe,timestamp
sample_002.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_002.png,4.127767086029053,896,20250704_224148
sample_019.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_019.png,4.098781108856201,896,20250704_224148
sample_004.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_004.png,3.6883535385131836,866,20250704_224148
sample_003.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_003.png,3.7179059982299805,884,20250704_224148
sample_018.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_018.png,2.762378692626953,860,20250704_224148
sample_021.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_021.png,2.973100185394287,854,20250704_224148
sample_020.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_020.png,3.810046672821045,860,20250704_224148
sample_012.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_012.png,3.2585930824279785,878,20250704_224148
sample_016.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_016.png,4.404482841491699,932,20250704_224148
sample_013.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_013.png,3.1866321563720703,860,20250704_224148
sample_007.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_007.png,2.6427712440490723,812,20250704_224148
sample_024.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_024.png,4.267788410186768,896,20250704_224148
sample_023.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_023.png,2.9003171920776367,842,20250704_224148
sample_008.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_008.png,4.6775665283203125,1016,20250704_224148
sample_000.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_000.png,2.9724745750427246,860,20250704_224148
sample_005.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_005.png,3.458665370941162,860,20250704_224148
sample_022.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_022.png,2.8802947998046875,854,20250704_224148
sample_006.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_006.png,2.911919593811035,848,20250704_224148
sample_001.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_001.png,3.785696029663086,860,20250704_224148
sample_010.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_010.png,3.183152198791504,866,20250704_224148
sample_011.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_011.png,2.8055715560913086,836,20250704_224148
sample_017.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_017.png,4.748286724090576,956,20250704_224148
sample_009.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_009.png,2.984447479248047,842,20250704_224148
sample_015.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_015.png,3.288196563720703,842,20250704_224148
sample_014.png,samples/afhq_512/general/samples_afhq_512_25imgs_20250704_160132/individual/sample_014.png,3.782872200012207,908,20250704_224148
